name,about,hyperlink,skills,examBoard,learningTime,dateAdded
"Certified Software Development Professional (CSDP)","A certification for professionals with proven software development skills.","https://www.computer.org/education/certifications/csdp","Software Development, Engineering","IEEE Computer Society","4-6 Weeks","2024-12-28"
"Certified ScrumMaster (CSM)","A popular certification for Scrum practitioners.","https://www.scrumalliance.org/get-certified/scrummaster","Agile, Scrum","Scrum Alliance","2 Days","2024-12-28"
"Microsoft Certified: Azure Developer Associate","Validates your skills in cloud development with Azure.","https://learn.microsoft.com/en-us/certifications/azure-developer-associate/","Azure, Cloud Development","Microsoft","1-2 Months","2024-12-28"
"Certified Kubernetes Administrator (CKA)","A certification to validate Kubernetes skills for cluster management.","https://www.cncf.io/certification/cka/","Kubernetes, Cloud","Cloud Native Computing Foundation","1-2 Months","2024-12-28"
"Oracle Certified Java Programmer (OCJP)","A certification for mastering Java programming.","https://education.oracle.com/java-se-11-programmer-ii/pexam_1Z0-816","Java, Programming","Oracle","3-6 Months","2024-12-28"
"Certified Ethical Hacker (CEH)","A certification for cybersecurity professionals to identify vulnerabilities.","https://www.eccouncil.org/programs/certified-ethical-hacker-ceh/","Cybersecurity, Ethical Hacking","EC-Council","6 Months","2024-12-28"
"Amazon Web Services (AWS) Certified Developer – Associate","Validates skills in developing applications on AWS.","https://aws.amazon.com/certification/certified-developer-associate/","AWS, Cloud Development","Amazon Web Services","1-3 Months","2024-12-28"
"Google Associate Cloud Engineer","A certification for cloud engineers working on Google Cloud.","https://cloud.google.com/certification/cloud-engineer","Cloud, Google Cloud","Google","1-2 Months","2024-12-28"
"CompTIA Security+","A foundational certification in IT security.","https://www.comptia.org/certifications/security","IT Security, Networking","CompTIA","3 Months","2024-12-28"
"Certified Information Systems Security Professional (CISSP)","An advanced certification for experienced cybersecurity practitioners.","https://www.isc2.org/Certifications/CISSP","Cybersecurity","(ISC)²","6-12 Months","2024-12-28"
"Certified Cloud Security Professional (CCSP)","A certification focused on cloud security knowledge.","https://www.isc2.org/Certifications/CCSP","Cloud Security","(ISC)²","6-12 Months","2024-12-28"
"Certified Software Engineer (CSE)","A certification for engineers with proven software development expertise.","https://www.comptia.org/certifications/software-engineer","Software Engineering","CompTIA","3-6 Months","2024-12-28"
"VMware Certified Professional (VCP)","A certification for professionals working with VMware technologies.","https://www.vmware.com/education-services/certification/vcp.html","Virtualization, VMware","VMware","1-2 Months","2024-12-28"
